donor_id,true_age,predicted_age,n_cells
aida:JP_RIK_H133,21.0,32.911316,25
aida:JP_RIK_H134,33.0,35.98745,37
aida:JP_RIK_H135,47.0,35.043743,354
aida:JP_RIK_H136,40.0,35.845123,8
aida:JP_RIK_H137,28.0,34.98051,317
aida:JP_RIK_H138,43.0,32.363403,206
aida:JP_RIK_H139,48.0,31.602549,511
aida:JP_RIK_H140,37.0,33.09366,467
aida:JP_RIK_H141,49.0,32.750523,401
aida:JP_RIK_H142,29.0,32.286972,322
aida:JP_RIK_H143,38.0,31.602993,466
aida:JP_RIK_H144,45.0,32.184044,228
aida:JP_RIK_H145,41.0,35.634468,462
aida:JP_RIK_H146,21.0,35.44462,344
aida:JP_RIK_H147,26.0,32.074677,477
aida:JP_RIK_H148,43.0,35.188892,537
aida:JP_RIK_H149,21.0,32.48289,550
aida:KR_SGI_H001,41.0,34.500027,455
aida:KR_SGI_H002,26.0,36.944637,176
aida:KR_SGI_H003,48.0,37.38203,435
aida:KR_SGI_H004,38.0,33.52931,198
aida:KR_SGI_H005,34.0,35.69493,135
aida:KR_SGI_H006,27.0,37.65776,227
aida:KR_SGI_H007,30.0,37.42801,296
aida:KR_SGI_H008,33.0,37.30224,304
aida:KR_SGI_H009,31.0,37.04298,313
aida:KR_SGI_H010,36.0,36.837257,545
aida:KR_SGI_H011,28.0,33.48879,617
aida:KR_SGI_H012,31.0,37.319756,518
aida:KR_SGI_H013,40.0,33.819424,372
aida:KR_SGI_H014,29.0,33.610767,852
aida:KR_SGI_H015,34.0,32.76503,571
aida:KR_SGI_H016,47.0,36.29387,335
aida:KR_SGI_H017,28.0,36.60087,397
aida:KR_SGI_H018,27.0,33.68424,449
aida:KR_SGI_H019,28.0,36.951843,454
aida:KR_SGI_H020,36.0,37.072388,400
aida:KR_SGI_H021,26.0,33.45847,431
aida:KR_SGI_H022,35.0,33.402596,158
aida:KR_SGI_H023,40.0,37.128815,204
aida:KR_SGI_H024,25.0,33.460365,421
aida:KR_SGI_H025,40.0,37.173153,525
aida:KR_SGI_H026,38.0,36.289295,427
aida:KR_SGI_H027,33.0,37.45189,230
aida:KR_SGI_H028,39.0,37.304794,523
aida:KR_SGI_H029,28.0,36.63926,465
aida:KR_SGI_H030,34.0,32.69971,306
aida:KR_SGI_H031,29.0,33.56984,258
aida:KR_SGI_H032,35.0,34.367115,369
aida:KR_SGI_H033,48.0,37.437134,400
aida:KR_SGI_H034,46.0,33.67157,394
aida:KR_SGI_H035,40.0,36.770447,518
aida:KR_SGI_H036,40.0,33.89709,634
aida:KR_SGI_H037,35.0,37.068478,604
aida:KR_SGI_H038,25.0,34.00377,492
aida:KR_SGI_H039,39.0,37.049397,533
aida:KR_SGI_H040,23.0,37.062695,582
aida:KR_SGI_H041,42.0,33.95382,408
aida:KR_SGI_H042,26.0,37.10673,358
aida:KR_SGI_H043,41.0,37.212185,796
aida:KR_SGI_H044,42.0,33.33661,584
aida:KR_SGI_H045,28.0,33.13586,288
aida:KR_SGI_H046,30.0,33.022556,383
aida:KR_SGI_H047,39.0,33.132523,250
aida:KR_SGI_H048,36.0,33.56296,454
aida:KR_SGI_H049,43.0,32.802284,293
aida:KR_SGI_H050,38.0,36.275845,634
aida:KR_SGI_H051,25.0,36.724907,288
aida:KR_SGI_H052,38.0,36.478428,313
aida:KR_SGI_H053,24.0,37.1785,629
aida:KR_SGI_H054,39.0,37.165764,680
aida:KR_SGI_H055,38.0,37.09125,497
aida:KR_SGI_H056,33.0,36.414566,232
aida:KR_SGI_H057,29.0,36.26268,653
aida:KR_SGI_H058,28.0,37.17932,683
aida:KR_SGI_H059,32.0,33.623825,582
aida:KR_SGI_H060,40.0,37.12892,491
aida:KR_SGI_H061,26.0,33.818745,405
aida:KR_SGI_H062,39.0,36.50496,356
aida:KR_SGI_H063,24.0,37.37834,304
aida:KR_SGI_H064,43.0,37.061466,709
aida:KR_SGI_H065,47.0,37.43755,267
aida:KR_SGI_H066,46.0,36.936134,334
aida:KR_SGI_H067,38.0,37.085976,276
aida:KR_SGI_H068,28.0,33.580193,324
aida:KR_SGI_H069,34.0,36.93087,308
aida:KR_SGI_H070,26.0,37.860363,613
aida:KR_SGI_H071,62.0,38.087242,318
aida:KR_SGI_H072,27.0,37.637413,274
aida:KR_SGI_H073,29.0,36.61583,240
aida:KR_SGI_H074,59.0,36.176945,373
aida:KR_SGI_H075,39.0,33.29237,453
aida:KR_SGI_H076,29.0,33.670162,193
aida:KR_SGI_H077,26.0,37.23209,389
aida:KR_SGI_H078,56.0,37.01445,368
aida:KR_SGI_H079,66.0,36.90871,430
aida:KR_SGI_H080,34.0,36.019753,315
aida:KR_SGI_H081,38.0,37.771458,381
aida:KR_SGI_H082,34.0,33.59264,435
aida:KR_SGI_H083,39.0,33.762836,443
aida:KR_SGI_H084,36.0,36.769783,362
aida:KR_SGI_H085,25.0,33.36063,437
aida:KR_SGI_H086,41.0,36.303776,390
aida:KR_SGI_H087,57.0,36.80794,347
aida:KR_SGI_H088,49.0,33.128044,566
aida:KR_SGI_H089,54.0,36.407463,272
aida:KR_SGI_H090,34.0,33.661934,638
aida:KR_SGI_H091,39.0,33.72006,215
aida:KR_SGI_H092,38.0,36.231205,549
aida:KR_SGI_H093,64.0,36.58938,375
aida:KR_SGI_H094,30.0,34.545788,530
aida:KR_SGI_H095,40.0,33.83319,560
aida:KR_SGI_H096,37.0,37.377052,363
aida:KR_SGI_H097,41.0,37.04197,278
aida:KR_SGI_H098,27.0,34.662167,226
aida:KR_SGI_H099,26.0,37.449482,367
aida:KR_SGI_H100,58.0,33.8947,194
aida:KR_SGI_H101,39.0,37.56435,201
aida:KR_SGI_H102,43.0,34.24307,165
aida:KR_SGI_H103,54.0,38.193478,227
aida:KR_SGI_H104,57.0,37.1802,520
aida:KR_SGI_H105,59.0,33.85917,671
aida:KR_SGI_H106,47.0,37.47959,328
aida:KR_SGI_H107,61.0,34.36147,398
aida:KR_SGI_H108,56.0,36.980057,286
aida:KR_SGI_H109,56.0,37.19638,384
aida:KR_SGI_H110,61.0,34.5563,209
aida:KR_SGI_H111,60.0,33.497166,657
aida:KR_SGI_H112,59.0,38.02969,352
aida:KR_SGI_H113,62.0,34.21276,388
aida:KR_SGI_H114,58.0,36.256443,509
aida:KR_SGI_H115,46.0,34.269527,490
aida:KR_SGI_H116,68.0,33.46632,494
aida:KR_SGI_H117,57.0,33.85146,351
aida:KR_SGI_H118,42.0,37.36593,486
aida:KR_SGI_H119,62.0,34.411564,399
aida:KR_SGI_H120,40.0,37.12721,654
aida:KR_SGI_H121,42.0,37.058193,615
aida:KR_SGI_H122,59.0,37.777767,379
aida:KR_SGI_H123,65.0,38.934963,579
aida:KR_SGI_H124,56.0,34.1068,781
aida:KR_SGI_H125,51.0,37.461075,468
aida:KR_SGI_H126,52.0,37.571167,700
