baseline,training_cohorts,eval_cohort,eval_chemistry,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,leakage_status,chemistry_match_to_baseline_training,detectability_flag
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,10x 3',NK,29,13.905963897705078,14.794422938905914,-0.150735549432202,0.4350936902645645,2.260326122415477,overlapping,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,stephenson,10x 3',NK,29,11.395186863333,14.0480537770268,0.055464647810067,0.77505596644506,1.14128621762232,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,stephenson,10x 3',B,29,12.14,12.433,0.2616,0.1705179884751095,1.806,clean,match,underpowered
LASSO-retrained-3cohort,our-three-cohort,stephenson,10x 3',B,29,13.279220581054688,14.60835075378418,0.2333212494850158,0.2231847792863845,7.867389678955078,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,stephenson,10x 3',B,29,14.048297882080078,13.515575277394262,-0.1257682158946152,0.5156406486328631,-2.2635640111462823,overlapping,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,stephenson,10x 3',B,29,16.6651941281763,16.7055256914477,0.11268112169619,0.560584731001204,6.95162457233953,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,terekhova,10x 5' v2,CD4T,166,9.152,10.76,0.8182,2.821821975253204e-41,-8.846,clean,shifted,powered
LASSO-retrained-3cohort,our-three-cohort,terekhova,10x 5' v2,CD4T,166,8.664325714111328,9.3053560256958,0.8057053089141846,3.846956648141634e-39,-1.822115778923035,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,10x 5' v2,CD4T,166,13.212806701660156,17.064718568181416,0.1380980538946821,0.0760076475655415,-13.960214201226291,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,terekhova,10x 5' v2,CD4T,166,8.03773178122453,9.5706126225479,0.777251826573571,7.97576238629725e-35,5.632719797393,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,terekhova,10x 5' v2,CD8T,166,8.193,9.444,0.7278,1.1718608595476256e-28,1.892,clean,shifted,underpowered
LASSO-retrained-3cohort,our-three-cohort,terekhova,10x 5' v2,CD8T,166,9.35995101928711,9.827251434326172,0.7425571084022522,2.3670079624993892e-30,-1.084720492362976,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,10x 5' v2,CD8T,166,12.709089279174805,16.79640928521214,0.2355154879175959,0.0022538997675676,-13.675970743937665,clean,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,terekhova,10x 5' v2,CD8T,166,7.55924628098422,9.48430650095295,0.750581641170392,2.5441216299522603e-31,-0.672214786899612,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,terekhova,10x 5' v2,MONO,166,12.779,13.707,0.2912,0.0001413007235266,1.217,clean,shifted,underpowered
LASSO-retrained-3cohort,our-three-cohort,terekhova,10x 5' v2,MONO,166,13.673778533935549,14.03418254852295,0.3715439736843109,8.289786705972801e-07,3.9382107257843018,clean,match,underpowered
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,10x 5' v2,MONO,166,14.7884521484375,17.31671749252871,0.0783277503321658,0.3158131816298459,-14.502680123570451,clean,match,underpowered
Pasta-REG,Pasta-pretraining-bulk,terekhova,10x 5' v2,MONO,166,21.5704865697093,21.2917557936021,0.551051732513208,1.43981898456417e-14,20.4921622839738,clean,bulk-vs-sc,underpowered
scImmuAging-LASSO,original-five,terekhova,10x 5' v2,NK,166,12.478,13.241,0.4397,3.098034795908409e-09,5.571,clean,shifted,powered
LASSO-retrained-3cohort,our-three-cohort,terekhova,10x 5' v2,NK,166,12.969650268554688,14.117732048034668,0.3491987287998199,4.005212304036832e-06,-5.502532958984375,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,10x 5' v2,NK,166,13.023733139038086,16.517372062407343,0.091436337322253,0.2413460548781936,-12.06445535407009,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,terekhova,10x 5' v2,NK,166,13.378166948393,14.6363346656687,0.351926836221616,3.32552798481046e-06,-7.52734939478033,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,terekhova,10x 5' v2,B,166,15.031,15.002,0.0798,0.3070291798677381,-2.499,clean,shifted,powered
LASSO-retrained-3cohort,our-three-cohort,terekhova,10x 5' v2,B,166,15.374584197998049,15.32385540008545,-0.1242885738611221,0.1106142550706863,-2.7407760620117188,clean,match,powered
scAgeClock,CELLxGENE-Census-2024-07-01,terekhova,10x 5' v2,B,166,13.42268180847168,17.460053616259472,0.0552138855461506,0.4798493169736943,-14.58155792879771,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,terekhova,10x 5' v2,B,166,10.8614455727166,13.7671863481299,0.280917362812867,0.0002462564918572,-2.52755479753597,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,aida,10x 5' v2,CD4T,595,7.456,9.231,0.6505,7.205335607206148e-73,-6.847,clean,shifted,powered
scAgeClock,CELLxGENE-Census-2024-07-01,aida,10x 5' v2,CD4T,595,9.203964233398438,10.465116859884825,0.2981093441295001,1.1203558761476553e-13,-6.088318534658737,clean,match,powered
Pasta-REG,Pasta-pretraining-bulk,aida,10x 5' v2,CD4T,595,6.32116088682422,7.98852861872203,0.659412639850672,1.64954663225917e-75,-1.82051591559656,clean,bulk-vs-sc,powered
scImmuAging-LASSO,original-five,aida,10x 5' v2,CD8T,595,10.557,12.35,0.5761,6.54381216036746e-54,8.993,clean,shifted,powered
scAgeClock,CELLxGENE-Census-2024-07-01,aida,10x 5' v2,CD8T,595,8.74411392211914,10.123440394682042,0.3887830174562245,6.600153189788393e-23,-5.768970435006278,clean,match,powered
