baseline,training_cohorts,eval_cohort,cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,chunk_size
scAgeClock,CELLxGENE-Census-2024-07-01,aida,CD4T,595,9.203964233398438,10.465116859884823,0.29810934412950013,1.1203558761476551e-13,-6.088318534658737,25000
scAgeClock,CELLxGENE-Census-2024-07-01,aida,CD8T,595,8.74411392211914,10.123440394682042,0.38878301745622457,6.600153189788393e-23,-5.768970435006278,25000
scAgeClock,CELLxGENE-Census-2024-07-01,aida,MONO,595,9.133575439453125,10.57315286908831,0.2967869138152234,1.453299559804374e-13,-6.191018333755621,25000
scAgeClock,CELLxGENE-Census-2024-07-01,aida,NK,624,8.492542266845703,10.05210071343642,0.2040449025925405,2.732761523483337e-07,-2.0222941239674888,25000
scAgeClock,CELLxGENE-Census-2024-07-01,aida,B,625,9.10068130493164,10.477022817993165,0.21831877910870867,3.513879622273718e-08,-5.160308700561523,25000
