method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,10,0.4751,19.9779,0.4032,26.4799,-0.0719,0.4837,0.3334,-0.1504
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,25,0.4751,19.9779,0.2876,19.2798,-0.1874,0.4837,0.2877,-0.1960
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,10,50,0.4751,19.9779,0.1128,19.7078,-0.3622,0.4837,0.2107,-0.2731
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,5,0.4485,15.2437,0.3484,23.1231,-0.1000,0.4402,0.4969,0.0567
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,10,0.4485,15.2437,0.3026,22.1866,-0.1458,0.4402,0.5047,0.0645
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,25,0.4485,15.2437,0.1328,19.7985,-0.3156,0.4402,0.1402,-0.3001
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,11,50,0.4485,15.2437,0.2645,19.6886,-0.1840,0.4402,0.2211,-0.2191
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,5,0.5603,16.5173,0.5268,18.4097,-0.0335,0.5275,0.5665,0.0391
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,10,0.5603,16.5173,0.3586,11.8314,-0.2017,0.5275,0.5085,-0.0189
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,25,0.5603,16.5173,0.2596,19.7621,-0.3007,0.5275,0.0502,-0.4772
geneformer_frozen_seed0,loco_onek1k,CD4+ T,0,12,50,0.5603,16.5173,0.1560,19.7484,-0.4043,0.5275,0.0965,-0.4310
geneformer_frozen_seed0,loco_onek1k,B,0,0,5,-0.0940,18.8435,-0.0936,20.1648,0.0004,0.1048,0.1792,0.0744
geneformer_frozen_seed0,loco_onek1k,B,0,0,10,-0.0940,18.8435,0.0588,19.8177,0.1528,0.1048,0.2263,0.1215
geneformer_frozen_seed0,loco_onek1k,B,0,0,25,-0.0940,18.8435,-0.0445,19.9386,0.0495,0.1048,0.1847,0.0799
geneformer_frozen_seed0,loco_onek1k,B,0,0,50,-0.0940,18.8435,0.0256,20.6809,0.1196,0.1048,0.1853,0.0805
geneformer_frozen_seed0,loco_onek1k,B,0,1,5,-0.0851,19.8725,-0.0592,19.7191,0.0259,0.0495,0.2027,0.1532
geneformer_frozen_seed0,loco_onek1k,B,0,1,10,-0.0851,19.8725,0.0623,20.2227,0.1474,0.0495,0.2324,0.1829
