fold,eval_cohort,cell_type,subset,layers,alpha,n_train_donors,n_eval_donors,feature_dim,pearson_r,pearson_p,mae_y
loco_onek1k,onek1k,NK,L1+L9+L12,"1,9,12",0.01,195,981,2304,0.297465,1.70949e-21,18.5336
loco_onek1k,aida,NK,L1+L9+L12,"1,9,12",0.01,195,306,2304,-0.0280513,0.624993,23.2334
loco_onek1k,onek1k,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.1,195,981,9984,0.283817,1.24445e-19,72.1889
loco_onek1k,aida,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",0.1,195,306,9984,0.12181,0.0331702,14.4005
loco_onek1k,onek1k,NK,early_block_L1+L2+L3,"1,2,3",1,195,981,2304,0.197191,4.67622e-10,24.9745
loco_onek1k,aida,NK,early_block_L1+L2+L3,"1,2,3",1,195,306,2304,0.095512,0.0953648,13.7781
loco_onek1k,onek1k,NK,mid_block_L5+L6+L7,"5,6,7",0.1,195,981,2304,0.279867,4.12176e-19,70.0888
loco_onek1k,aida,NK,mid_block_L5+L6+L7,"5,6,7",0.1,195,306,2304,0.177509,0.00182567,13.1878
loco_onek1k,onek1k,NK,late_block_L10+L11+L12,"10,11,12",1,195,981,2304,0.258896,1.73081e-16,15.378
loco_onek1k,aida,NK,late_block_L10+L11+L12,"10,11,12",1,195,306,2304,0.0163531,0.775712,15.3466
loco_terekhova,terekhova,NK,L1,1,1,1010,166,768,0.228532,0.00306171,14.6265
loco_terekhova,terekhova,NK,L12,12,1,1010,166,768,0.198876,0.0102084,15.1889
loco_terekhova,terekhova,NK,L1+L12,"1,12",1,1010,166,1536,0.22799,0.00313426,14.2064
loco_terekhova,terekhova,NK,L1+L9+L12,"1,9,12",1,1010,166,2304,0.225943,0.0034222,13.6372
loco_terekhova,terekhova,NK,L0..12_all,"0,1,2,3,4,5,6,7,8,9,10,11,12",10,1010,166,9984,0.226822,0.00329572,13.8553
loco_terekhova,terekhova,NK,early_block_L1+L2+L3,"1,2,3",1,1010,166,2304,0.238948,0.00193252,13.901
loco_terekhova,terekhova,NK,mid_block_L5+L6+L7,"5,6,7",1,1010,166,2304,0.184118,0.0175676,14.0762
loco_terekhova,terekhova,NK,late_block_L10+L11+L12,"10,11,12",1,1010,166,2304,0.203145,0.00866525,14.1956
