layer,k_pc,cv_R,seed,fold
2,50,-0.0525,0,loco_onek1k
3,5,0.1064,0,loco_onek1k
3,10,0.0449,0,loco_onek1k
3,25,-0.0923,0,loco_onek1k
3,50,0.0175,0,loco_onek1k
4,5,0.1396,0,loco_onek1k
4,10,-0.0077,0,loco_onek1k
4,25,-0.0629,0,loco_onek1k
4,50,-0.1360,0,loco_onek1k
5,5,0.1638,0,loco_onek1k
5,10,0.0822,0,loco_onek1k
5,25,-0.0044,0,loco_onek1k
5,50,0.0031,0,loco_onek1k
6,5,0.1516,0,loco_onek1k
6,10,0.0393,0,loco_onek1k
6,25,-0.0527,0,loco_onek1k
6,50,0.0980,0,loco_onek1k
7,5,0.1803,0,loco_onek1k
7,10,0.0298,0,loco_onek1k
7,25,-0.0311,0,loco_onek1k
7,50,0.0114,0,loco_onek1k
8,5,0.1833,0,loco_onek1k
8,10,0.0804,0,loco_onek1k
8,25,0.0035,0,loco_onek1k
8,50,0.0473,0,loco_onek1k
9,5,0.2038,0,loco_onek1k
9,10,0.0904,0,loco_onek1k
9,25,0.0323,0,loco_onek1k
9,50,0.0150,0,loco_onek1k
10,5,0.1947,0,loco_onek1k
10,10,0.1301,0,loco_onek1k
10,25,0.0768,0,loco_onek1k
10,50,-0.0057,0,loco_onek1k
11,5,0.1575,0,loco_onek1k
11,10,0.1355,0,loco_onek1k
11,25,0.0626,0,loco_onek1k
11,50,0.0774,0,loco_onek1k
12,5,0.1877,0,loco_onek1k
12,10,0.2368,0,loco_onek1k
12,25,0.1568,0,loco_onek1k
12,50,-0.0698,0,loco_onek1k
0,5,0.1847,1,loco_onek1k
0,10,0.1017,1,loco_onek1k
0,25,0.0588,1,loco_onek1k
0,50,-0.0051,1,loco_onek1k
1,5,0.2060,1,loco_onek1k
1,10,0.1872,1,loco_onek1k
1,25,0.0691,1,loco_onek1k
1,50,-0.0435,1,loco_onek1k
2,5,0.2074,1,loco_onek1k
2,10,0.1889,1,loco_onek1k
2,25,0.0690,1,loco_onek1k
2,50,-0.0531,1,loco_onek1k
3,5,0.2884,1,loco_onek1k
3,10,0.2610,1,loco_onek1k
3,25,0.1290,1,loco_onek1k
3,50,0.0824,1,loco_onek1k
4,5,0.3079,1,loco_onek1k
4,10,0.2596,1,loco_onek1k
4,25,0.0519,1,loco_onek1k
4,50,0.0566,1,loco_onek1k
5,5,0.3322,1,loco_onek1k
5,10,0.2583,1,loco_onek1k
5,25,0.0607,1,loco_onek1k
5,50,0.0228,1,loco_onek1k
6,5,0.3408,1,loco_onek1k
6,10,0.2227,1,loco_onek1k
6,25,0.1144,1,loco_onek1k
6,50,0.0201,1,loco_onek1k
7,5,0.3064,1,loco_onek1k
7,10,0.2455,1,loco_onek1k
7,25,0.1175,1,loco_onek1k
7,50,0.0044,1,loco_onek1k
8,5,0.2795,1,loco_onek1k
8,10,0.2741,1,loco_onek1k
8,25,0.1754,1,loco_onek1k
8,50,-0.0175,1,loco_onek1k
9,5,0.2635,1,loco_onek1k
9,10,0.2558,1,loco_onek1k
9,25,0.1113,1,loco_onek1k
9,50,-0.0167,1,loco_onek1k
10,5,0.2347,1,loco_onek1k
10,10,0.2600,1,loco_onek1k
10,25,0.0801,1,loco_onek1k
10,50,-0.0404,1,loco_onek1k
11,5,0.1578,1,loco_onek1k
11,10,0.1453,1,loco_onek1k
11,25,-0.0374,1,loco_onek1k
