cell_type,cap,fold,layer,holdout_R,holdout_MAE,aida_R,aida_MAE
B,100,loco_onek1k,10,0.0609,53.1748,0.2684,13.2967
B,100,loco_onek1k,11,-0.0332,67.6867,0.1569,15.3443
B,100,loco_onek1k,12,-0.0623,47.8336,0.2987,15.5764
B,100,loco_terekhova,0,0.1579,13.3849,,
B,100,loco_terekhova,1,0.2676,12.8692,,
B,100,loco_terekhova,2,0.2768,13.4182,,
B,100,loco_terekhova,3,0.2129,13.3711,,
B,100,loco_terekhova,4,0.0943,24.8410,,
B,100,loco_terekhova,5,0.1927,24.5970,,
B,100,loco_terekhova,6,0.1562,13.9565,,
B,100,loco_terekhova,7,0.2044,14.2051,,
B,100,loco_terekhova,8,0.2519,14.2043,,
B,100,loco_terekhova,9,0.2501,12.5012,,
B,100,loco_terekhova,10,0.2870,16.9871,,
B,100,loco_terekhova,11,0.2498,23.2107,,
B,100,loco_terekhova,12,0.2489,30.0045,,
