method,fold,cell_type,seed,layer,cca_train_R,ols_holdout_R,ridge_holdout_R,ols_aida_R,ridge_aida_R
geneformer_frozen_seed0,loco_terekhova,NK,0,2,0.9159,-0.0247,0.2753,,
geneformer_frozen_seed0,loco_terekhova,NK,0,3,0.9150,0.0953,0.2466,,
geneformer_frozen_seed0,loco_terekhova,NK,0,4,0.9270,0.1687,0.1959,,
geneformer_frozen_seed0,loco_terekhova,NK,0,5,0.9279,0.0159,0.1932,,
geneformer_frozen_seed0,loco_terekhova,NK,0,6,0.9252,0.1015,0.1829,,
geneformer_frozen_seed0,loco_terekhova,NK,0,7,0.9248,0.0275,0.1824,,
geneformer_frozen_seed0,loco_terekhova,NK,0,8,0.9215,0.0439,0.2008,,
geneformer_frozen_seed0,loco_terekhova,NK,0,9,0.9305,0.0664,0.2216,,
geneformer_frozen_seed0,loco_terekhova,NK,0,10,0.9251,0.0049,0.2141,,
geneformer_frozen_seed0,loco_terekhova,NK,0,11,0.9199,0.0157,0.2285,,
geneformer_frozen_seed0,loco_terekhova,NK,0,12,0.9247,0.0216,0.2273,,
geneformer_frozen_seed1,loco_onek1k,NK,1,0,1.0000,,0.1108,,0.2196
geneformer_frozen_seed1,loco_onek1k,NK,1,1,1.0000,,0.0654,,0.2359
geneformer_frozen_seed1,loco_onek1k,NK,1,2,1.0000,,0.0814,,0.1936
geneformer_frozen_seed1,loco_onek1k,NK,1,3,1.0000,,0.2367,,0.2566
geneformer_frozen_seed1,loco_onek1k,NK,1,4,1.0000,,0.1977,,0.2564
geneformer_frozen_seed1,loco_onek1k,NK,1,5,1.0000,,0.2453,,0.2885
geneformer_frozen_seed1,loco_onek1k,NK,1,6,1.0000,,0.2466,,0.3038
geneformer_frozen_seed1,loco_onek1k,NK,1,7,1.0000,,0.2259,,0.3130
geneformer_frozen_seed1,loco_onek1k,NK,1,8,1.0000,,0.2245,,0.2730
geneformer_frozen_seed1,loco_onek1k,NK,1,9,1.0000,,0.2193,,0.2907
geneformer_frozen_seed1,loco_onek1k,NK,1,10,1.0000,,0.1976,,0.3098
geneformer_frozen_seed1,loco_onek1k,NK,1,11,1.0000,,0.1284,,0.2629
geneformer_frozen_seed1,loco_onek1k,NK,1,12,1.0000,,0.1910,,0.1877
geneformer_frozen_seed2,loco_onek1k,NK,2,0,1.0000,,0.1065,,0.2207
geneformer_frozen_seed2,loco_onek1k,NK,2,1,1.0000,,0.1703,,0.1813
geneformer_frozen_seed2,loco_onek1k,NK,2,2,1.0000,,0.1681,,0.2296
geneformer_frozen_seed2,loco_onek1k,NK,2,3,1.0000,,0.2643,,0.1920
geneformer_frozen_seed2,loco_onek1k,NK,2,4,1.0000,,0.2626,,0.1488
