method_base,fold,cell_type,n_seeds,per_seed_cv_picks,per_seed_oracles,modal_layer_mean,modal_layer_median,agreement_modal_mean_vs_oracle,agreement_modal_median_vs_oracle,agreement_modal_mean_vs_cv_picks,ensemble_cv_R_per_layer
geneformer_frozen,loco_onek1k,NK,3,"[0, 2, 3]","[3, 3, 4]",0,0,0,0,1,"[0.28553418815135956, 0.2621473471323649, 0.2576853434244792, 0.2579817722241084, 0.24380271136760712, 0.2531920522451401, 0.24807815750439963, 0.2517615854740143, 0.2377676417430242, 0.23460678259531656, 0.2336814304192861, 0.23141839106877646, 0.2489978720744451]"
geneformer_frozen,loco_terekhova,NK,3,"[2, 3, 3]","[2, 2, 2]",3,3,0,0,2,"[0.44860056042671204, 0.47506117820739746, 0.4915456374486287, 0.5030560294787089, 0.49742263555526733, 0.4836569130420685, 0.47840748230616253, 0.4726689358552297, 0.4809334675470988, 0.4780394732952118, 0.47608140110969543, 0.45846954981486004, 0.469592809677124]"
geneformer_rank16,loco_onek1k,CD4+ T,3,"[6, 7, 6]","[7, 6, 6]",6,6,2,2,2,"[0.4278036653995514, 0.5660240848859152, 0.5983174443244934, 0.64262721935908, 0.6583706537882487, 0.6909316182136536, 0.7036708394686381, 0.7000950773557028, 0.700480043888092, 0.6958975791931152, 0.6971003214518229, 0.6978087623914083, 0.6890885233879089]"
geneformer_rank32,loco_onek1k,CD4+ T,3,"[12, 12, 12]","[12, 12, 12]",12,12,3,3,3,"[0.4278036653995514, 0.5541407465934753, 0.5626054803530375, 0.6233158508936564, 0.6497357885042826, 0.6475207209587097, 0.6595264673233032, 0.6602477629979452, 0.6609613498051962, 0.6511539220809937, 0.6427646279335022, 0.6552911798159281, 0.6891963283220927]"
