label,fold,tag,eval_cohort,cell_type,layer,alpha,n_train_donors,n_eval_donors,pearson_r,pearson_p,mae_y
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,8,1,195,306,0.130546,0.0223686,14.5478
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,9,0.1,195,981,0.356007,1.10027e-30,41.7825
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,9,0.1,195,306,0.196876,0.000532629,8.97388
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,10,1,195,981,0.350814,8.69807e-30,21.2794
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,10,1,195,306,0.110363,0.0537865,13.0094
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,11,1,195,981,0.345168,7.88765e-29,19.5155
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,11,1,195,306,0.107928,0.0593275,12.7748
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,onek1k,NK,12,0.1,195,981,0.253491,7.53747e-16,15.119
NK_loco_onek1k_s0,loco_onek1k,loco_onek1k_NK_e5b_alllayers,aida,NK,12,0.1,195,306,-0.128248,0.0248633,15.8287
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,0,0.1,1010,166,0.11479,0.140843,14.7638
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,1,1,1010,166,0.122399,0.116184,14.0685
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,2,10,1010,166,0.119572,0.124918,14.9324
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,3,10,1010,166,0.094242,0.227148,15.3444
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,4,10,1010,166,0.0746902,0.33888,15.5821
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,5,10,1010,166,0.0642635,0.410752,13.7382
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,6,10,1010,166,0.0409902,0.600034,15.343
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,7,10,1010,166,0.112583,0.148691,22.5718
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,8,10,1010,166,0.127237,0.102344,28.5906
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,9,10,1010,166,0.114521,0.14178,29.5235
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,10,1,1010,166,0.0475842,0.542663,36.4822
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,11,10,1010,166,0.0121158,0.876878,21.2942
B_loco_terekhova_s0,loco_terekhova,loco_terekhova_B_e5b_alllayers,terekhova,B,12,100,1010,166,0.0447222,0.567229,13.2607
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,0,0.01,190,981,0.342238,2.43224e-28,28.4718
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,0,0.01,190,293,0.316525,3.0611e-08,10.7919
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,1,0.1,190,981,0.498146,0,30.382
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,1,0.1,190,293,0.472125,1.13446e-17,8.82243
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,2,1,190,981,0.518208,0,24.5314
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,aida,CD4+ T,2,1,190,293,0.454827,2.2965e-16,9.49263
CD4pT_loco_onek1k_s1,loco_onek1k,loco_onek1k_CD4pT_e5b_seed1_alllayers,onek1k,CD4+ T,3,1,190,981,0.557107,0,17.8797
