fold,eval_cohort,cell_type,seed,layer,alpha,pearson_r,mae_y,n_train,n_eval
loco_onek1k,aida,NK,2,11,1,0.160231,13.3084,195,306
loco_onek1k,onek1k,NK,2,12,10,0.26593,18.7655,195,981
loco_onek1k,aida,NK,2,12,10,0.117978,11.8286,195,306
loco_terekhova,terekhova,NK,0,0,0.1,0.184568,14.2012,1010,166
loco_terekhova,terekhova,NK,0,1,1,0.228532,14.6265,1010,166
loco_terekhova,terekhova,NK,0,2,1,0.265911,14.4117,1010,166
loco_terekhova,terekhova,NK,0,3,1,0.234899,14.36,1010,166
loco_terekhova,terekhova,NK,0,4,1,0.170931,14.6418,1010,166
loco_terekhova,terekhova,NK,0,5,1,0.191726,13.7088,1010,166
loco_terekhova,terekhova,NK,0,6,1,0.17383,14.5255,1010,166
loco_terekhova,terekhova,NK,0,7,0.1,0.171755,13.4017,1010,166
loco_terekhova,terekhova,NK,0,8,0.1,0.198188,13.8632,1010,166
loco_terekhova,terekhova,NK,0,9,0.1,0.210877,13.325,1010,166
loco_terekhova,terekhova,NK,0,10,0.1,0.213813,13.6583,1010,166
loco_terekhova,terekhova,NK,0,11,0.1,0.226951,14.2595,1010,166
loco_terekhova,terekhova,NK,0,12,1,0.198876,15.1889,1010,166
loco_terekhova,terekhova,NK,1,0,0.1,0.178176,14.2033,1010,166
loco_terekhova,terekhova,NK,1,1,1,0.230317,14.2701,1010,166
loco_terekhova,terekhova,NK,1,2,1,0.270754,13.9809,1010,166
loco_terekhova,terekhova,NK,1,3,1,0.197809,14.325,1010,166
loco_terekhova,terekhova,NK,1,4,1,0.132441,15.149,1010,166
loco_terekhova,terekhova,NK,1,5,1,0.157531,15.0551,1010,166
loco_terekhova,terekhova,NK,1,6,1,0.140073,15.312,1010,166
loco_terekhova,terekhova,NK,1,7,1,0.140401,14.1399,1010,166
loco_terekhova,terekhova,NK,1,8,0.1,0.181125,13.5484,1010,166
loco_terekhova,terekhova,NK,1,9,0.1,0.180863,14.4928,1010,166
loco_terekhova,terekhova,NK,1,10,0.1,0.186212,14.3734,1010,166
loco_terekhova,terekhova,NK,1,11,0.1,0.162392,16.53,1010,166
loco_terekhova,terekhova,NK,1,12,1,0.18334,14.4655,1010,166
loco_terekhova,terekhova,NK,2,0,0.1,0.275075,13.9168,1010,166
