method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,8,200,0,0.0000,0.6706,0.0373,6,6,12,1.0000,0,0.0000,robust
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,9,200,0,0.0000,0.6689,0.0381,6,6,12,1.0000,0,0.0000,robust
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,10,200,0,0.0000,0.6806,0.0367,6,6,12,1.0000,0,0.0000,robust
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,11,200,0,0.0000,0.6860,0.0365,6,6,12,1.0000,0,0.0000,robust
geneformer_rank16_seed2,loco_onek1k,CD4+ T,2,12,200,200,1.0000,0.7359,0.0364,6,6,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,0,200,0,0.0000,0.1721,0.0718,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,1,200,0,0.0000,0.4324,0.0535,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,2,200,0,0.0000,0.5300,0.0465,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,3,200,0,0.0000,0.5404,0.0434,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,4,200,0,0.0000,0.5361,0.0422,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,5,200,0,0.0000,0.5708,0.0401,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,6,200,0,0.0000,0.5611,0.0395,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,7,200,0,0.0000,0.5594,0.0406,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,8,200,0,0.0000,0.5293,0.0419,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,9,200,0,0.0000,0.5170,0.0430,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,10,200,0,0.0000,0.5273,0.0426,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,11,200,0,0.0000,0.5156,0.0437,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed0,loco_onek1k,CD4+ T,0,12,200,200,1.0000,0.7303,0.0359,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,0,200,0,0.0000,0.1721,0.0718,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,1,200,0,0.0000,0.4392,0.0527,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,2,200,0,0.0000,0.5345,0.0458,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,3,200,0,0.0000,0.5586,0.0419,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,4,200,0,0.0000,0.5529,0.0410,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,5,200,0,0.0000,0.5838,0.0396,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,6,200,0,0.0000,0.5769,0.0388,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,7,200,0,0.0000,0.5760,0.0396,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,8,200,0,0.0000,0.5418,0.0414,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,9,200,0,0.0000,0.5324,0.0419,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,10,200,0,0.0000,0.5486,0.0409,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,11,200,0,0.0000,0.5512,0.0410,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed1,loco_onek1k,CD4+ T,1,12,200,200,1.0000,0.7194,0.0358,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,0,200,0,0.0000,0.1721,0.0718,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,1,200,0,0.0000,0.4320,0.0537,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,2,200,0,0.0000,0.5334,0.0458,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,3,200,0,0.0000,0.5569,0.0414,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,4,200,0,0.0000,0.5543,0.0404,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,5,200,0,0.0000,0.5827,0.0397,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,6,200,0,0.0000,0.5796,0.0395,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,7,200,0,0.0000,0.5786,0.0403,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,8,200,0,0.0000,0.5536,0.0417,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,9,200,0,0.0000,0.5406,0.0422,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,10,200,0,0.0000,0.5559,0.0415,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,11,200,0,0.0000,0.5613,0.0413,12,12,12,1.0000,0,0.0000,robust
geneformer_rank32_seed2,loco_onek1k,CD4+ T,2,12,200,200,1.0000,0.7186,0.0373,12,12,12,1.0000,0,0.0000,robust
