method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_frozen_seed2,loco_onek1k,NK,2,12,200,126,0.6300,0.3932,0.0603,3,4,12,0.6300,3,0.2300,moderate
geneformer_frozen_seed1,loco_terekhova,NK,1,0,200,0,0.0000,0.3147,0.0241,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,1,200,0,0.0000,0.4529,0.0222,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,2,200,3,0.0150,0.4837,0.0221,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,3,200,197,0.9850,0.4950,0.0217,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,4,200,0,0.0000,0.4829,0.0224,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,5,200,0,0.0000,0.4744,0.0226,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,6,200,0,0.0000,0.4627,0.0233,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,7,200,0,0.0000,0.4533,0.0233,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,8,200,0,0.0000,0.4362,0.0233,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,9,200,0,0.0000,0.4225,0.0234,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,10,200,0,0.0000,0.4228,0.0235,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,11,200,0,0.0000,0.4167,0.0229,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed1,loco_terekhova,NK,1,12,200,0,0.0000,0.4705,0.0242,3,2,3,0.9850,2,0.0150,robust
geneformer_frozen_seed2,loco_terekhova,NK,2,0,200,0,0.0000,0.3200,0.0246,3,2,3,0.9900,2,0.0100,robust
geneformer_frozen_seed2,loco_terekhova,NK,2,1,200,0,0.0000,0.4554,0.0231,3,2,3,0.9900,2,0.0100,robust
geneformer_frozen_seed2,loco_terekhova,NK,2,2,200,2,0.0100,0.4914,0.0227,3,2,3,0.9900,2,0.0100,robust
