donor_id,true_age,predicted_age,n_cells
onek1k:186_187,28.0,46.99098,39
onek1k:187_188,26.0,50.79471,11
onek1k:188_189,46.0,57.562267,5
onek1k:189_190,68.0,46.778267,6
onek1k:190_191,61.0,54.396564,9
onek1k:191_192,55.0,47.1261,12
onek1k:192_193,58.0,45.284473,23
onek1k:194_195,46.0,45.566986,8
onek1k:196_197,72.0,56.143238,49
onek1k:197_198,60.0,54.438858,8
onek1k:198_199,27.0,48.27871,8
onek1k:199_200,63.0,44.24302,5
onek1k:200_201,53.0,52.625477,3
onek1k:201_202,39.0,52.75319,14
onek1k:202_203,49.0,44.613865,11
onek1k:203_204,59.0,53.89452,6
onek1k:204_205,60.0,56.257446,5
onek1k:206_207,63.0,46.434208,64
onek1k:207_208,39.0,54.116276,61
onek1k:208_209,72.0,45.942974,99
onek1k:209_210,93.0,54.248604,86
onek1k:210_211,46.0,51.466515,72
onek1k:211_212,53.0,44.00796,42
onek1k:212_213,93.0,46.91899,50
onek1k:213_214,86.0,53.497368,53
onek1k:214_215,69.0,45.786053,39
onek1k:215_216,60.0,47.00574,52
onek1k:217_218,73.0,45.84439,101
onek1k:219_220,67.0,51.317574,96
onek1k:220_221,66.0,42.85216,79
onek1k:221_222,84.0,53.204754,134
onek1k:222_223,48.0,42.97497,65
onek1k:223_224,71.0,53.970005,70
onek1k:224_225,85.0,52.637066,47
onek1k:225_226,32.0,51.75397,9
onek1k:226_227,77.0,48.166325,4
onek1k:229_230,27.0,55.578213,13
onek1k:230_231,60.0,44.618824,3
onek1k:231_232,40.0,45.397766,5
onek1k:232_233,24.0,53.460884,51
onek1k:233_234,67.0,46.915676,41
onek1k:236_237,51.0,51.425106,52
onek1k:237_238,25.0,49.029045,5
onek1k:238_239,39.0,44.65234,11
onek1k:239_240,39.0,51.18475,17
onek1k:240_241,68.0,49.87319,2
onek1k:241_242,79.0,47.262226,5
onek1k:242_243,82.0,45.311115,6
onek1k:243_244,59.0,45.77826,17
onek1k:244_245,79.0,51.192898,7
onek1k:245_246,58.0,47.361153,1
onek1k:246_247,28.0,45.816162,38
onek1k:247_248,77.0,53.185688,5
onek1k:248_249,69.0,56.41943,33
onek1k:250_251,63.0,53.177467,6
onek1k:251_252,35.0,52.504707,12
onek1k:252_253,29.0,52.82923,11
