donor_id,true_age,predicted_age,n_cells
onek1k:186_187,28.0,62.21218,126
onek1k:187_188,26.0,58.287548,189
onek1k:188_189,46.0,58.587925,134
onek1k:189_190,68.0,60.386906,92
onek1k:190_191,61.0,60.618164,111
onek1k:191_192,55.0,61.817966,141
onek1k:192_193,58.0,59.525467,156
onek1k:193_194,63.0,60.46664,12
onek1k:194_195,46.0,58.748325,54
onek1k:196_197,72.0,59.57332,167
onek1k:197_198,60.0,59.837326,264
onek1k:198_199,27.0,58.49697,193
onek1k:199_200,63.0,59.53227,66
onek1k:200_201,53.0,58.02414,100
onek1k:201_202,39.0,58.18527,38
onek1k:202_203,49.0,60.289795,69
onek1k:203_204,59.0,59.559807,72
onek1k:204_205,60.0,59.425617,87
onek1k:206_207,63.0,60.633633,237
onek1k:207_208,39.0,60.086292,130
onek1k:208_209,72.0,61.658672,189
onek1k:209_210,93.0,60.585644,426
onek1k:210_211,46.0,59.20484,174
onek1k:211_212,53.0,60.76801,212
onek1k:212_213,93.0,62.714672,246
onek1k:213_214,86.0,59.812325,614
onek1k:214_215,69.0,61.401844,125
onek1k:215_216,60.0,59.480804,290
onek1k:217_218,73.0,61.378914,312
onek1k:219_220,67.0,59.365944,134
onek1k:220_221,66.0,59.374542,132
onek1k:221_222,84.0,59.30332,602
onek1k:222_223,48.0,59.07356,265
onek1k:223_224,71.0,58.19227,190
onek1k:224_225,85.0,59.529194,85
onek1k:225_226,32.0,59.860397,41
onek1k:226_227,77.0,62.53664,43
onek1k:229_230,27.0,58.515724,78
onek1k:230_231,60.0,58.77279,56
onek1k:231_232,40.0,59.10026,41
onek1k:232_233,24.0,58.04437,204
onek1k:233_234,67.0,62.868904,120
onek1k:236_237,51.0,59.47853,78
onek1k:237_238,25.0,58.490143,128
onek1k:238_239,39.0,60.52845,80
onek1k:239_240,39.0,59.76793,66
onek1k:240_241,68.0,59.43328,85
onek1k:241_242,79.0,59.89999,157
onek1k:242_243,82.0,60.416573,57
onek1k:243_244,59.0,58.12707,65
onek1k:244_245,79.0,60.636044,179
onek1k:245_246,58.0,57.34788,19
onek1k:246_247,28.0,61.033012,133
onek1k:247_248,77.0,59.286335,131
onek1k:248_249,69.0,60.855972,117
onek1k:250_251,63.0,57.46683,231
onek1k:251_252,35.0,59.477695,192
onek1k:252_253,29.0,57.630768,199
onek1k:255_256,54.0,59.918697,149
onek1k:256_257,52.0,58.89569,200
onek1k:257_258,68.0,61.97629,137
onek1k:258_259,68.0,57.963802,526
onek1k:259_260,45.0,59.83082,136
onek1k:260_261,76.0,59.213757,419
onek1k:262_263,66.0,60.537186,131
onek1k:263_264,77.0,60.45308,235
onek1k:264_265,59.0,60.88271,117
onek1k:266_267,49.0,58.72335,240
onek1k:267_268,61.0,61.454945,137
onek1k:269_270,76.0,59.46001,262
onek1k:270_271,64.0,61.861958,228
onek1k:271_272,20.0,61.518726,77
onek1k:272_273,54.0,62.038563,306
onek1k:273_274,63.0,61.40474,156
onek1k:274_275,66.0,59.10437,304
onek1k:275_276,31.0,58.941254,130
onek1k:276_277,65.0,60.63589,202
onek1k:278_279,45.0,58.09544,108
onek1k:279_280,73.0,59.244484,81
onek1k:280_281,25.0,59.063934,84
onek1k:281_282,53.0,60.66266,58
onek1k:282_283,40.0,61.141594,200
onek1k:283_284,47.0,58.54756,72
onek1k:284_285,30.0,60.661823,205
onek1k:286_287,44.0,59.639553,193
onek1k:287_288,79.0,61.696404,132
onek1k:288_289,80.0,61.489758,149
onek1k:289_290,29.0,60.005306,133
onek1k:290_291,53.0,59.331482,65
onek1k:291_292,67.0,63.493156,152
onek1k:292_293,76.0,64.737366,386
onek1k:293_294,86.0,65.76991,125
onek1k:294_295,54.0,65.757805,95
onek1k:295_296,87.0,62.400024,168
onek1k:296_297,80.0,66.72395,366
onek1k:297_298,82.0,64.95375,554
onek1k:298_299,74.0,62.015583,207
onek1k:299_300,95.0,65.62691,180
onek1k:301_302,88.0,65.79433,356
onek1k:302_303,83.0,67.071304,382
onek1k:303_304,85.0,62.303886,314
onek1k:304_305,68.0,64.37414,298
onek1k:305_306,74.0,62.07187,352
onek1k:306_307,80.0,66.56921,274
onek1k:307_308,91.0,66.09837,153
onek1k:308_309,79.0,64.09129,54
onek1k:309_310,75.0,62.966858,414
onek1k:310_311,80.0,65.475235,120
onek1k:311_312,88.0,64.958305,350
onek1k:312_313,84.0,65.19386,124
onek1k:313_314,33.0,63.649216,287
onek1k:314_315,80.0,65.570724,434
onek1k:315_316,80.0,61.449314,196
onek1k:316_317,76.0,65.88047,492
onek1k:317_318,66.0,64.39961,151
onek1k:318_319,88.0,67.17965,323
onek1k:319_320,84.0,64.3047,99
onek1k:320_321,89.0,65.327515,277
onek1k:321_322,76.0,63.675003,154
onek1k:322_323,90.0,64.87652,332
onek1k:323_324,77.0,64.91928,79
onek1k:324_325,97.0,62.955517,44
onek1k:325_326,66.0,62.273567,78
onek1k:326_327,66.0,62.731636,204
onek1k:327_328,23.0,63.75287,276
onek1k:328_329,65.0,59.139404,158
onek1k:329_330,42.0,59.17796,123
onek1k:330_331,63.0,63.005337,185
onek1k:331_332,24.0,63.38449,225
onek1k:332_333,62.0,64.662865,151
onek1k:333_334,51.0,65.05412,168
onek1k:334_335,60.0,63.426514,126
onek1k:335_336,71.0,58.314854,97
onek1k:336_337,57.0,60.64371,51
onek1k:337_338,42.0,58.472816,64
onek1k:338_339,69.0,60.01555,103
onek1k:339_340,80.0,59.277775,136
onek1k:340_341,78.0,60.273003,182
onek1k:342_343,80.0,62.160923,391
onek1k:344_345,61.0,59.635517,137
onek1k:345_346,66.0,62.19372,220
onek1k:346_347,61.0,60.13726,226
onek1k:347_348,49.0,58.980453,60
onek1k:348_349,31.0,57.55432,134
onek1k:349_350,51.0,61.84949,161
onek1k:350_351,52.0,61.788155,120
onek1k:351_352,77.0,64.04037,53
onek1k:352_353,58.0,59.67172,137
onek1k:353_354,71.0,61.69263,131
onek1k:354_355,23.0,61.28524,120
onek1k:355_356,27.0,58.00726,52
onek1k:356_357,28.0,62.09627,108
onek1k:357_358,39.0,63.560852,206
onek1k:358_359,52.0,65.11563,140
onek1k:359_360,58.0,61.748524,195
onek1k:360_361,46.0,64.04222,108
onek1k:361_362,56.0,64.72107,385
onek1k:363_364,66.0,64.19106,179
onek1k:364_365,42.0,63.75569,118
onek1k:365_366,67.0,65.196205,275
onek1k:366_367,35.0,62.64672,182
onek1k:367_368,65.0,64.2825,88
onek1k:368_369,36.0,58.96338,165
onek1k:369_370,54.0,58.198696,143
onek1k:370_371,26.0,61.536003,62
onek1k:371_372,41.0,62.070553,135
onek1k:372_373,49.0,62.13967,143
onek1k:373_374,78.0,63.17175,201
onek1k:374_375,50.0,63.278248,101
onek1k:376_377,79.0,61.867733,163
onek1k:377_378,38.0,62.015484,96
onek1k:378_379,22.0,61.311653,120
onek1k:379_380,51.0,62.83814,247
onek1k:380_381,79.0,61.501545,111
onek1k:381_382,77.0,59.15151,121
onek1k:382_383,63.0,58.099567,175
onek1k:383_384,81.0,59.042973,87
onek1k:384_385,61.0,60.922348,236
onek1k:385_386,47.0,61.355232,176
onek1k:386_387,80.0,60.054043,178
onek1k:387_388,65.0,58.571266,133
onek1k:388_389,62.0,58.738335,78
onek1k:389_390,81.0,59.236443,170
onek1k:390_391,78.0,59.771297,212
onek1k:391_392,43.0,57.58337,117
onek1k:392_393,56.0,57.5073,119
onek1k:393_394,56.0,58.675724,165
onek1k:394_395,37.0,58.67709,81
onek1k:395_396,66.0,60.20561,79
onek1k:396_397,57.0,59.96761,187
onek1k:398_399,55.0,57.570076,85
onek1k:399_400,49.0,58.81791,182
onek1k:400_401,46.0,59.8526,62
onek1k:402_403,66.0,59.4765,149
onek1k:403_404,65.0,60.370193,118
onek1k:404_405,64.0,59.529186,188
onek1k:405_406,70.0,65.74574,167
onek1k:406_407,59.0,65.0144,108
onek1k:407_408,65.0,60.471626,20
onek1k:408_409,74.0,60.024876,67
onek1k:409_410,65.0,60.660603,204
onek1k:410_411,61.0,58.068893,46
onek1k:411_412,49.0,59.691788,169
onek1k:412_413,85.0,58.6177,149
onek1k:413_414,24.0,57.306,110
onek1k:414_415,22.0,58.37599,94
onek1k:415_416,80.0,59.855354,127
onek1k:416_417,63.0,57.915688,98
onek1k:417_418,78.0,60.203815,282
onek1k:418_419,76.0,60.95346,128
onek1k:419_420,72.0,59.68366,300
onek1k:420_421,75.0,58.88609,7
onek1k:421_422,61.0,59.900246,262
onek1k:422_423,53.0,64.972885,106
onek1k:423_424,59.0,61.22914,375
onek1k:424_425,78.0,64.68707,215
onek1k:425_426,50.0,63.254196,158
onek1k:426_427,63.0,64.17745,141
onek1k:427_428,67.0,62.642025,159
onek1k:428_429,75.0,62.36479,106
onek1k:429_430,87.0,63.61851,85
onek1k:431_432,78.0,65.14097,259
onek1k:432_433,78.0,61.78267,224
onek1k:433_434,80.0,62.276314,180
onek1k:434_435,78.0,65.0683,115
onek1k:435_436,67.0,64.40846,125
onek1k:436_437,45.0,63.446568,45
onek1k:437_438,21.0,61.964767,30
onek1k:438_439,32.0,63.610428,44
onek1k:439_440,71.0,63.27678,140
onek1k:441_442,70.0,60.965755,227
onek1k:442_443,58.0,60.693134,62
onek1k:443_444,29.0,64.01453,103
onek1k:445_446,83.0,65.579956,52
onek1k:446_447,72.0,64.957825,219
onek1k:447_448,66.0,63.272232,180
onek1k:448_449,82.0,66.591965,113
onek1k:449_450,85.0,65.54463,44
onek1k:450_451,84.0,62.393368,460
onek1k:451_452,89.0,62.584175,323
onek1k:452_453,77.0,61.88243,181
onek1k:453_454,85.0,68.29591,154
onek1k:454_455,79.0,62.652138,362
onek1k:455_456,80.0,66.16495,135
onek1k:456_457,76.0,62.56298,380
onek1k:457_458,73.0,63.17384,223
onek1k:458_459,84.0,65.12656,261
onek1k:459_460,87.0,64.79335,240
onek1k:460_461,58.0,64.374596,57
onek1k:461_462,61.0,64.835495,39
onek1k:462_463,83.0,64.90137,203
onek1k:463_464,86.0,65.878845,129
onek1k:464_465,76.0,64.54221,86
onek1k:465_466,59.0,59.61159,225
onek1k:466_467,85.0,59.836143,188
onek1k:467_468,74.0,61.71887,107
onek1k:468_469,76.0,61.8277,70
onek1k:469_470,78.0,61.425804,130
onek1k:470_471,83.0,62.935257,359
onek1k:471_472,65.0,61.45591,105
onek1k:472_473,77.0,59.215622,127
onek1k:473_474,72.0,61.12065,136
onek1k:474_475,79.0,59.815582,95
onek1k:475_476,36.0,60.60968,98
onek1k:476_477,53.0,59.19386,207
