donor_id,true_age,predicted_age,n_cells
onek1k:185_186,62.0,49.985138,90
onek1k:186_187,28.0,48.257416,168
onek1k:187_188,26.0,49.890392,59
onek1k:188_189,46.0,48.06601,210
onek1k:189_190,68.0,48.75235,64
onek1k:190_191,61.0,49.24072,67
onek1k:191_192,55.0,48.404076,69
onek1k:192_193,58.0,46.19468,101
onek1k:193_194,63.0,46.20357,14
onek1k:194_195,46.0,46.39184,87
onek1k:196_197,72.0,47.908195,90
onek1k:197_198,60.0,49.31009,149
onek1k:198_199,27.0,46.22799,376
onek1k:199_200,63.0,46.731297,110
onek1k:200_201,53.0,48.37766,111
onek1k:201_202,39.0,49.838116,115
onek1k:202_203,49.0,45.777203,201
onek1k:203_204,59.0,47.655907,251
onek1k:204_205,60.0,50.554363,64
onek1k:206_207,63.0,48.53474,131
onek1k:207_208,39.0,50.246643,78
onek1k:208_209,72.0,49.019886,117
onek1k:209_210,93.0,51.42426,37
onek1k:210_211,46.0,48.51474,169
onek1k:211_212,53.0,48.018078,113
onek1k:212_213,93.0,50.602566,103
onek1k:213_214,86.0,48.659893,90
onek1k:214_215,69.0,48.467567,149
onek1k:215_216,60.0,46.923504,207
onek1k:217_218,73.0,49.92539,215
onek1k:219_220,67.0,49.51325,255
onek1k:220_221,66.0,48.0461,131
onek1k:221_222,84.0,49.382988,145
onek1k:222_223,48.0,46.988426,247
onek1k:223_224,71.0,49.506786,62
onek1k:224_225,85.0,48.650745,131
onek1k:225_226,32.0,49.86241,156
onek1k:226_227,77.0,47.760674,916
onek1k:229_230,27.0,48.03062,75
onek1k:230_231,60.0,47.160446,102
onek1k:231_232,40.0,47.520527,81
onek1k:232_233,24.0,50.382828,138
onek1k:233_234,67.0,49.70862,212
onek1k:236_237,51.0,50.43644,141
onek1k:237_238,25.0,49.168755,107
onek1k:238_239,39.0,47.448513,123
onek1k:239_240,39.0,48.78867,69
onek1k:240_241,68.0,45.43753,50
onek1k:241_242,79.0,46.48603,207
onek1k:242_243,82.0,48.185036,57
onek1k:243_244,59.0,46.792545,155
onek1k:244_245,79.0,48.120026,257
onek1k:245_246,58.0,46.2118,248
onek1k:246_247,28.0,48.513783,126
onek1k:247_248,77.0,48.61451,36
onek1k:248_249,69.0,51.26272,94
onek1k:250_251,63.0,48.504932,85
onek1k:251_252,35.0,48.774673,132
onek1k:252_253,29.0,50.250603,72
onek1k:255_256,54.0,47.119602,113
onek1k:256_257,52.0,49.77662,76
onek1k:257_258,68.0,48.007988,102
onek1k:258_259,68.0,48.015728,114
onek1k:259_260,45.0,48.362537,93
onek1k:260_261,76.0,49.796623,118
onek1k:262_263,66.0,49.6047,56
onek1k:263_264,77.0,52.250214,64
onek1k:264_265,59.0,50.47428,100
onek1k:266_267,49.0,50.60715,45
onek1k:267_268,61.0,49.015907,146
onek1k:269_270,76.0,49.277054,46
onek1k:270_271,64.0,48.071823,144
onek1k:271_272,20.0,49.12437,195
onek1k:272_273,54.0,49.21554,35
onek1k:273_274,63.0,47.879,127
onek1k:274_275,66.0,50.517,62
onek1k:275_276,31.0,50.20117,231
onek1k:276_277,65.0,47.357998,70
onek1k:278_279,45.0,51.10053,58
onek1k:279_280,73.0,48.831112,70
onek1k:280_281,25.0,46.98681,104
onek1k:281_282,53.0,46.274567,70
onek1k:282_283,40.0,49.13487,146
onek1k:283_284,47.0,49.699425,118
onek1k:284_285,30.0,49.426716,105
onek1k:286_287,44.0,50.664116,75
onek1k:287_288,79.0,49.36993,151
onek1k:288_289,80.0,49.867844,150
onek1k:289_290,29.0,47.08508,114
onek1k:290_291,53.0,48.585953,52
onek1k:291_292,67.0,51.307346,99
onek1k:292_293,76.0,51.905926,87
onek1k:293_294,86.0,52.442093,136
onek1k:294_295,54.0,51.84667,200
onek1k:295_296,87.0,52.698105,38
onek1k:296_297,80.0,51.417103,79
onek1k:297_298,82.0,53.299076,67
onek1k:298_299,74.0,54.07552,66
onek1k:299_300,95.0,51.349636,169
onek1k:301_302,88.0,53.415356,131
onek1k:302_303,83.0,53.217377,102
onek1k:303_304,85.0,52.693375,246
onek1k:304_305,68.0,51.447178,241
onek1k:305_306,74.0,51.49901,39
onek1k:306_307,80.0,53.396664,49
onek1k:307_308,91.0,52.54426,62
onek1k:308_309,79.0,51.671467,44
onek1k:309_310,75.0,54.40742,77
onek1k:310_311,80.0,53.764538,110
onek1k:311_312,88.0,51.922943,121
onek1k:312_313,84.0,52.137497,26
onek1k:313_314,33.0,50.8895,100
onek1k:314_315,80.0,50.902435,76
onek1k:315_316,80.0,53.804516,144
onek1k:316_317,76.0,51.708466,84
onek1k:317_318,66.0,50.516148,155
onek1k:318_319,88.0,51.79216,113
onek1k:319_320,84.0,51.448906,134
onek1k:320_321,89.0,52.365593,49
onek1k:321_322,76.0,55.481087,69
onek1k:322_323,90.0,54.84644,62
onek1k:323_324,77.0,53.587627,114
onek1k:324_325,97.0,52.583233,221
onek1k:325_326,66.0,49.934444,65
onek1k:326_327,66.0,52.702374,131
onek1k:327_328,23.0,51.080116,201
onek1k:328_329,65.0,49.143803,122
onek1k:329_330,42.0,49.774364,92
onek1k:330_331,63.0,51.189457,132
onek1k:331_332,24.0,51.808502,118
onek1k:332_333,62.0,51.70595,134
onek1k:333_334,51.0,55.262917,72
onek1k:334_335,60.0,51.039898,155
onek1k:335_336,71.0,48.905666,194
onek1k:336_337,57.0,53.039673,10
onek1k:337_338,42.0,46.928555,124
onek1k:338_339,69.0,49.4009,47
onek1k:339_340,80.0,48.6686,162
onek1k:340_341,78.0,47.178844,205
onek1k:342_343,80.0,49.190502,17
onek1k:344_345,61.0,49.47989,91
onek1k:345_346,66.0,51.691837,43
onek1k:346_347,61.0,52.841206,68
onek1k:347_348,49.0,44.871475,114
onek1k:348_349,31.0,45.728474,286
onek1k:349_350,51.0,48.616104,83
onek1k:350_351,52.0,47.94178,115
onek1k:351_352,77.0,49.889297,1125
onek1k:352_353,58.0,46.326683,118
onek1k:353_354,71.0,49.479195,104
onek1k:354_355,23.0,51.105213,183
onek1k:355_356,27.0,45.346878,124
onek1k:356_357,28.0,52.60928,155
onek1k:357_358,39.0,50.860992,119
onek1k:358_359,52.0,51.978363,66
onek1k:359_360,58.0,52.871212,111
onek1k:360_361,46.0,50.839943,236
onek1k:361_362,56.0,52.52095,305
onek1k:363_364,66.0,51.20218,146
onek1k:364_365,42.0,52.30573,188
onek1k:365_366,67.0,51.322605,98
onek1k:366_367,35.0,53.30499,131
onek1k:367_368,65.0,52.34234,128
onek1k:368_369,36.0,45.21637,136
onek1k:369_370,54.0,46.059296,204
onek1k:370_371,26.0,49.292107,331
onek1k:371_372,41.0,50.469273,231
onek1k:372_373,49.0,50.503456,86
onek1k:373_374,78.0,49.72954,145
onek1k:374_375,50.0,50.924286,122
onek1k:376_377,79.0,50.866276,251
onek1k:377_378,38.0,49.822056,175
onek1k:378_379,22.0,49.264008,223
onek1k:379_380,51.0,49.496155,104
onek1k:380_381,79.0,52.701256,146
onek1k:381_382,77.0,46.387947,86
onek1k:382_383,63.0,45.92454,146
onek1k:383_384,81.0,50.78579,26
onek1k:384_385,61.0,49.669483,159
onek1k:385_386,47.0,49.29866,88
onek1k:386_387,80.0,49.84208,167
onek1k:387_388,65.0,48.891655,248
onek1k:388_389,62.0,44.367683,18
onek1k:389_390,81.0,48.33091,76
onek1k:390_391,78.0,46.961315,354
onek1k:391_392,43.0,45.571095,183
onek1k:392_393,56.0,46.574066,160
onek1k:393_394,56.0,49.49261,87
onek1k:394_395,37.0,51.664875,56
onek1k:395_396,66.0,49.35169,95
onek1k:396_397,57.0,46.359196,104
onek1k:398_399,55.0,45.62118,53
onek1k:399_400,49.0,45.166492,59
onek1k:400_401,46.0,49.09028,114
onek1k:402_403,66.0,47.875294,157
onek1k:403_404,65.0,47.900005,91
onek1k:404_405,64.0,46.122963,196
onek1k:405_406,70.0,51.428467,92
onek1k:406_407,59.0,52.04953,108
onek1k:407_408,65.0,48.430336,132
onek1k:408_409,74.0,49.61543,33
onek1k:409_410,65.0,45.84784,128
onek1k:410_411,61.0,47.972454,94
onek1k:411_412,49.0,45.742275,163
onek1k:412_413,85.0,49.295605,144
onek1k:413_414,24.0,45.84774,144
onek1k:414_415,22.0,45.64264,74
onek1k:415_416,80.0,50.007637,86
onek1k:416_417,63.0,50.380096,133
onek1k:417_418,78.0,49.460552,119
onek1k:418_419,76.0,49.79648,32
onek1k:419_420,72.0,47.456154,184
onek1k:420_421,75.0,45.652794,196
onek1k:421_422,61.0,50.263386,66
onek1k:422_423,53.0,50.917564,138
onek1k:423_424,59.0,50.476967,185
onek1k:424_425,78.0,51.368774,232
onek1k:425_426,50.0,51.38473,165
onek1k:426_427,63.0,51.41907,37
onek1k:427_428,67.0,52.16736,93
onek1k:428_429,75.0,52.777924,95
onek1k:429_430,87.0,54.697517,58
onek1k:431_432,78.0,52.84228,203
onek1k:432_433,78.0,51.83434,109
onek1k:433_434,80.0,53.26162,704
onek1k:434_435,78.0,52.101913,116
onek1k:435_436,67.0,53.941708,51
onek1k:436_437,45.0,51.494255,186
onek1k:437_438,21.0,50.65867,256
onek1k:438_439,32.0,50.984276,274
onek1k:439_440,71.0,54.767395,86
onek1k:441_442,70.0,52.202667,68
onek1k:442_443,58.0,51.323284,178
onek1k:443_444,29.0,50.831196,431
onek1k:445_446,83.0,53.805126,77
