fm,fold,seed,cell_type,eval_cohort,n_train_cells,n_eval_cells,n_eval_donors,mae_y,pearson_r,wall_s,device,smoke,params
geneformer,loco_onek1k,0,CD4+ T,onek1k,19000,29430,981,30.5,,34544.555773973465,cuda,False,"{""total_params"": 106134529, ""trainable_params"": 2360065, ""trainable_pct"": 2.2237}"
geneformer,loco_onek1k,0,CD4+ T,onek1k,16,8,2,14.618236541748047,-0.9999999999999999,15.57005524635315,cpu,True,"{""total_params"": 106134529, ""trainable_params"": 2360065, ""trainable_pct"": 2.2237}"
