donor_id,true_age,predicted_age,n_cells
aida:JP_RIK_H104,46.0,34.273586,270
aida:JP_RIK_H105,26.0,33.565334,304
aida:JP_RIK_H106,35.0,33.883766,387
aida:JP_RIK_H107,37.0,40.479595,294
aida:JP_RIK_H108,49.0,40.4646,217
aida:JP_RIK_H109,28.0,34.315025,376
aida:JP_RIK_H110,26.0,40.60044,297
aida:JP_RIK_H111,29.0,40.5731,215
aida:JP_RIK_H112,32.0,40.218414,232
aida:JP_RIK_H113,33.0,40.28033,365
aida:JP_RIK_H114,37.0,40.964058,231
aida:JP_RIK_H115,30.0,33.401966,220
aida:JP_RIK_H116,33.0,40.915813,169
aida:JP_RIK_H117,31.0,39.67363,175
aida:JP_RIK_H118,22.0,39.910065,274
aida:JP_RIK_H119,37.0,33.77128,232
aida:JP_RIK_H120,43.0,40.974148,285
aida:JP_RIK_H121,39.0,34.237194,233
aida:JP_RIK_H122,37.0,33.669132,344
aida:JP_RIK_H123,32.0,40.15991,202
aida:JP_RIK_H124,45.0,34.088013,432
aida:JP_RIK_H125,35.0,33.596508,53
aida:JP_RIK_H126,21.0,39.935978,155
aida:JP_RIK_H127,22.0,33.655186,166
aida:JP_RIK_H128,44.0,33.69799,239
aida:JP_RIK_H129,33.0,33.892723,76
aida:JP_RIK_H130,46.0,34.12386,197
aida:JP_RIK_H131,23.0,40.19808,93
aida:JP_RIK_H132,43.0,34.113068,218
aida:JP_RIK_H133,21.0,32.893936,56
aida:JP_RIK_H134,33.0,39.964096,92
aida:JP_RIK_H135,47.0,41.19192,349
aida:JP_RIK_H136,40.0,41.40961,695
aida:JP_RIK_H137,28.0,39.681293,245
aida:JP_RIK_H138,43.0,34.410778,567
aida:JP_RIK_H139,48.0,33.74081,308
aida:JP_RIK_H140,37.0,33.766766,306
aida:JP_RIK_H141,49.0,33.559727,215
aida:JP_RIK_H142,29.0,34.019173,194
aida:JP_RIK_H143,38.0,33.462578,402
aida:JP_RIK_H144,45.0,33.1784,224
aida:JP_RIK_H145,41.0,40.248024,350
aida:JP_RIK_H146,21.0,40.629684,289
aida:JP_RIK_H147,26.0,34.023582,321
aida:JP_RIK_H148,43.0,41.18724,198
aida:JP_RIK_H149,21.0,33.68106,582
aida:KR_SGI_H001,41.0,34.934017,470
aida:KR_SGI_H002,26.0,42.69761,191
aida:KR_SGI_H003,48.0,42.575626,279
aida:KR_SGI_H004,38.0,33.856865,318
aida:KR_SGI_H005,34.0,42.1277,238
aida:KR_SGI_H006,27.0,42.188477,218
