cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,pseudocell_n,pseudocell_size
B,29,12.14,12.433,0.2616,0.1705179884751095,1.806,100,15
NK,29,14.568,16.108,0.1823,0.3438402291832612,9.996,100,15
MONO,23,10.661,12.603,0.2241,0.303884157779554,-0.959,100,15
CD8T,24,11.386,12.07,0.7141,8.89623270335928e-05,8.521,100,15
CD4T,24,8.444,8.953,0.7931,3.8032181199746034e-06,-4.507,100,15
