cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,pseudocell_n,pseudocell_size
B,166,15.031,15.002,0.0798,0.3070291798677381,-2.499,100,15
NK,166,12.478,13.241,0.4397,3.098034795908409e-09,5.571,100,15
CD8T,166,8.193,9.444,0.7278,1.1718608595476256e-28,1.892,100,15
MONO,166,12.779,13.707,0.2912,0.0001413007235266,1.217,100,15
CD4T,166,9.152,10.76,0.8182,2.821821975253204e-41,-8.846,100,15
