cell_type,n_donors,median_abs_err_yr,mean_abs_err_yr,pearson_r,pearson_p,mean_bias_yr,pseudocell_n,pseudocell_size
B,625,12.362,13.828,-0.0258,0.5190137510540378,-7.615,100,15
CD8T,595,10.557,12.35,0.5761,6.54381216036746e-54,8.993,100,15
NK,624,18.554,18.771,0.1991,5.329930638528755e-07,16.401,100,15
MONO,595,9.905,11.283,0.3462,3.362473768666175e-18,6.056,100,15
CD4T,595,7.456,9.231,0.6505,7.205335607206148e-73,-6.847,100,15
