fm,fold,seed,cell_type,wall_s,n_train_cells,device,smoke,timestamp
geneformer,loco_onek1k,0,CD4+ T,34544.555773973465,19000,cuda,False,2026-04-26T05:06:00
geneformer,loco_onek1k,0,CD4+ T,15.57005524635315,16,cpu,True,2026-04-26T08:16:17
